,Unnamed: 0,Unnamed: 0.1,Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
10,10,10,29642366,2015-01-06 01:57:48,,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11375,105-18 62 DRIVE,62 DRIVE,YELLOWSTONE BOULEVARD,APEX PLACE,,,ADDRESS,FOREST HILLS,,Precinct,Assigned,01/06/2015 09:57:48 AM,01/06/2015 02:56:04 AM,06 QUEENS,QUEENS,1025121,207157,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.73518033115011,-73.85252280680754,"(40.73518033115011, -73.85252280680754)"
11,11,11,29641941,2015-01-06 01:52:03,,DOT,Department of Transportation,Street Sign - Missing,St Name - Attached to Pole,Street,11233,,,,,HERKIMER STREET,PLEASANT PLACE,INTERSECTION,BROOKLYN,,,Open,02/05/2015 01:52:03 AM,,16 BROOKLYN,BROOKLYN,1009247,186110,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.67747042369726,-73.90987995813849,"(40.67747042369726, -73.90987995813849)"
12,12,12,29637962,2015-01-06 01:51:30,,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11219,1333 60 STREET,60 STREET,13 AVENUE,NEW UTRECHT AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Assigned,01/06/2015 09:51:30 AM,01/06/2015 02:12:46 AM,12 BROOKLYN,BROOKLYN,984865,168218,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.62839605834185,-73.99778441163775,"(40.62839605834185, -73.99778441163775)"
13,13,13,29642318,2015-01-06 01:48:20,,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery,10033,802 WEST 181 STREET,WEST 181 STREET,FT WASHINGTON AVENUE,PINEHURST AVENUE,,,ADDRESS,NEW YORK,,,Open,02/12/2015 01:48:20 AM,,12 MANHATTAN,MANHATTAN,1001265,249311,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.85095969474427,-73.9384969474412,"(40.85095969474427, -73.9384969474412)"
14,14,14,29641048,2015-01-06 01:47:58,,DOT,Department of Transportation,Street Condition,Pothole,,,39,,,,,,,,,,Open,,01/06/2015 01:47:58 AM,Unspecified MANHATTAN,MANHATTAN,,,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,,,
15,15,15,29636601,2015-01-06 01:47:16,,DOT,Department of Transportation,Street Condition,Pothole,,,1553,,,,,,,,,,Open,,01/06/2015 01:47:16 AM,Unspecified BRONX,BRONX,,,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,,,
16,16,16,29634277,2015-01-06 01:46:09,,DOT,Department of Transportation,Street Sign - Missing,St Name - Attached to Pole,Street,11233,,,,,HERKIMER STREET,SACKMAN STREET,INTERSECTION,BROOKLYN,,,Open,02/05/2015 01:46:09 AM,,16 BROOKLYN,BROOKLYN,1010319,186033,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.67725598416598,-73.90601544771603,"(40.67725598416598, -73.90601544771603)"
17,17,17,29642218,2015-01-06 01:39:50,,DOT,Department of Transportation,Street Sign - Missing,St Name - Attached to Pole,Street,11233,,,,,HERKIMER STREET,HAVENS PLACE,INTERSECTION,BROOKLYN,,,Open,02/05/2015 01:39:50 AM,,16 BROOKLYN,BROOKLYN,1010806,185998,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.67715846955935,-73.90425984352697,"(40.67715846955935, -73.90425984352697)"
18,18,18,29635892,2015-01-06 01:37:32,,DCA,Department of Consumer Affairs,Consumer Complaint,Exchange/Refund/Return,,10033,802 WEST 181 STREET,WEST 181 STREET,FT WASHINGTON AVENUE,PINEHURST AVENUE,,,ADDRESS,NEW YORK,,,Open,01/10/2015 01:37:32 AM,,12 MANHATTAN,MANHATTAN,1001265,249311,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.85095969474427,-73.9384969474412,"(40.85095969474427, -73.9384969474412)"
19,19,19,29636499,2015-01-06 01:33:16,,DOT,Department of Transportation,Street Sign - Missing,St Name - Attached to Pole,Street,11207,,,,,HERKIMER STREET,VANSINDEREN AVENUE,INTERSECTION,BROOKLYN,,,Open,02/05/2015 01:33:16 AM,,05 BROOKLYN,BROOKLYN,1011057,185981,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.67711105188753,-73.9033550022793,"(40.67711105188753, -73.9033550022793)"
20,20,20,29639511,2015-01-06 01:32:51,,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11372,70-06 ROOSEVELT AVENUE,ROOSEVELT AVENUE,70 STREET,BQE WESTBOUND ENTRANCE 37 AVE,,,ADDRESS,JACKSON HEIGHTS,,Precinct,Assigned,01/06/2015 09:32:51 AM,01/06/2015 02:12:47 AM,02 QUEENS,QUEENS,1013250,211238,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.74642854264474,-73.89533997952648,"(40.74642854264474, -73.89533997952648)"
21,21,21,29638544,2015-01-06 01:32:50,,DSNY,Department of Sanitation,Graffiti,Graffiti,Mixed Use,10472,1057 BOYNTON AVENUE,BOYNTON AVENUE,BRUCKNER BOULEVARD,WATSON AVENUE,,,ADDRESS,BRONX,,,Open,,01/06/2015 01:32:50 AM,09 BRONX,BRONX,1018159,240003,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.82536324322324,-73.87747838486375,"(40.82536324322324, -73.87747838486375)"
22,22,22,29641525,2015-01-06 01:30:50,,CHALL,CHALL,Opinion for the Mayor,PUBLICSAFETY,,,,,,,,,,,,,Email Sent,01/20/2015 01:31:17 AM,,0 Unspecified,Unspecified,,,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,1-1-1052163525,,,,,,
23,23,23,29636278,2015-01-06 01:28:16,,DOHMH,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,3+ Family Apt. Building,10034,199 SHERMAN AVENUE,SHERMAN AVENUE,WEST 204 STREET,WEST 207 STREET,,,ADDRESS,NEW YORK,,,Pending,02/05/2015 01:28:16 AM,01/06/2015 01:36:42 AM,12 MANHATTAN,MANHATTAN,1006051,254558,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.865350610685894,-73.92118023638876,"(40.865350610685894, -73.92118023638876)"
24,24,24,29641827,2015-01-06 01:27:24,,EDC,Economic Development Corporation,Noise - Helicopter,Other,Above Address,10040,89 THAYER STREET,THAYER STREET,SHERMAN AVENUE,BROADWAY,,,ADDRESS,NEW YORK,,,Open,01/16/2015 01:27:24 AM,,12 MANHATTAN,MANHATTAN,1004293,254142,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.864212983761796,-73.92753738525039,"(40.864212983761796, -73.92753738525039)"
25,25,25,29636334,2015-01-06 01:27:10,,NYPD,New York City Police Department,Animal Abuse,Tortured,Street/Sidewalk,10467,3525 PERRY AVENUE,PERRY AVENUE,EAST GUN HILL ROAD,EAST 211 STREET,,,ADDRESS,BRONX,,Precinct,Assigned,01/06/2015 09:27:10 AM,01/06/2015 02:04:30 AM,07 BRONX,BRONX,1019012,259682,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.87937287999524,-73.87429425000688,"(40.87937287999524, -73.87429425000688)"
26,26,26,29640545,2015-01-06 01:25:42,,CHALL,CHALL,Opinion for the Mayor,PUBLICSAFETY,,,,,,,,,,,,,Email Sent,01/20/2015 01:26:03 AM,,0 Unspecified,Unspecified,,,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,1-1-1052163508,,,,,,
27,27,27,29638620,2015-01-06 01:24:16,01/06/2015 02:19:00 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10011,355 WEST 16 STREET,WEST 16 STREET,8 AVENUE,9 AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,01/06/2015 09:24:16 AM,01/06/2015 02:18:40 AM,04 MANHATTAN,MANHATTAN,983396,209510,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.74173312459783,-74.00308183921501,"(40.74173312459783, -74.00308183921501)"
28,28,28,29642773,2015-01-06 01:21:44,,NYPD,New York City Police Department,Animal Abuse,No Shelter,House and Store,11224,3723 NAUTILUS AVENUE,NAUTILUS AVENUE,WEST 37 STREET,SEA GATE AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Open,01/06/2015 09:21:44 AM,,13 BROOKLYN,BROOKLYN,983147,149168,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.57610763444291,-74.00397053794926,"(40.57610763444291, -74.00397053794926)"
29,29,29,29634568,2015-01-06 01:13:07,01/06/2015 01:13:07 AM,DOT,Department of Transportation,Street Condition,Pothole,,,,,,,,,,,,,Closed,,01/06/2015 01:13:07 AM,Unspecified MANHATTAN,MANHATTAN,,,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,,,
30,30,30,29638914,2015-01-06 01:12:14,01/06/2015 02:35:36 AM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11421,80-69 87 ROAD,87 ROAD,80 STREET,85 STREET,,,ADDRESS,WOODHAVEN,,Precinct,Closed,01/06/2015 09:12:14 AM,01/06/2015 01:34:39 AM,09 QUEENS,QUEENS,1023140,191058,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.69100140355579,-73.85976394996877,"(40.69100140355579, -73.85976394996877)"
31,31,31,29637504,2015-01-06 01:10:29,,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10034,252 SHERMAN AVENUE,SHERMAN AVENUE,WEST 207 STREET,ISHAM STREET,,,ADDRESS,NEW YORK,,Precinct,Open,01/06/2015 09:10:29 AM,,12 MANHATTAN,MANHATTAN,1006634,254849,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.86614785795822,-73.91907147592903,"(40.86614785795822, -73.91907147592903)"
32,32,32,29636375,2015-01-06 01:10:27,01/06/2015 01:11:24 AM,DHS,Operations Unit - Department of Homeless Services,Homeless Person Assistance,No Status Call,,10019,1 WEST 54 STREET,WEST 54 STREET,5 AVENUE,AVENUE OF THE AMERICAS,,,ADDRESS,NEW YORK,,,Closed,01/06/2015 03:10:27 AM,,05 MANHATTAN,MANHATTAN,990939,216622,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.76125127668166,-73.97585425808583,"(40.76125127668166, -73.97585425808583)"
33,33,33,29641205,2015-01-06 01:10:12,,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10453,81 WEST 174 STREET,WEST 174 STREET,MACOMBS ROAD,NELSON AVENUE,,,ADDRESS,BRONX,,Precinct,Open,01/06/2015 09:10:12 AM,,05 BRONX,BRONX,1007315,247955,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.84722414539215,-73.91663306838426,"(40.84722414539215, -73.91663306838426)"
34,34,34,29635670,2015-01-06 01:07:31,,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10034,263 SHERMAN AVENUE,SHERMAN AVENUE,WEST 207 STREET,ISHAM STREET,,,ADDRESS,NEW YORK,,Precinct,Open,01/06/2015 09:07:31 AM,,12 MANHATTAN,MANHATTAN,1006673,254862,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.86618344001468,-73.91893042945345,"(40.86618344001468, -73.91893042945345)"
35,35,35,29636733,2015-01-06 01:05:32,,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11375,105-18 62 DRIVE,62 DRIVE,YELLOWSTONE BOULEVARD,APEX PLACE,,,ADDRESS,FOREST HILLS,,Precinct,Assigned,01/06/2015 09:05:32 AM,01/06/2015 02:56:13 AM,06 QUEENS,QUEENS,1025121,207157,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.73518033115011,-73.85252280680754,"(40.73518033115011, -73.85252280680754)"
36,36,36,29635580,2015-01-06 01:05:11,01/06/2015 02:01:21 AM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11419,94-35 118 STREET,118 STREET,ATLANTIC AVENUE,95 AVENUE,,,ADDRESS,SOUTH RICHMOND HILL,,Precinct,Closed,01/06/2015 09:05:11 AM,01/06/2015 02:01:21 AM,09 QUEENS,QUEENS,1031807,191845,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.69311920490833,-73.82850555211415,"(40.69311920490833, -73.82850555211415)"
37,37,37,29637648,2015-01-06 01:00:00,01/06/2015 01:08:48 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10011,355 WEST 16 STREET,WEST 16 STREET,8 AVENUE,9 AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,01/06/2015 09:00:00 AM,01/06/2015 01:08:48 AM,04 MANHATTAN,MANHATTAN,983396,209510,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.74173312459783,-74.00308183921501,"(40.74173312459783, -74.00308183921501)"
38,38,38,29640560,2015-01-06 00:58:10,,CHALL,CHALL,Opinion for the Mayor,PUBLICSAFETY,,,,,,,,,,,,,Email Sent,01/20/2015 12:59:02 AM,,0 Unspecified,Unspecified,,,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,1-1-1052163464,,,,,,
39,39,39,29642431,2015-01-06 00:57:07,,FDNY,FDNY,Complaint,Fire Prevention,,,,,,,,,,,,,Email Sent,01/20/2015 12:57:56 AM,,0 Unspecified,Unspecified,,,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,1-1-1052163461,,,,,,
40,40,40,29641447,2015-01-06 00:56:34,,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Food Spoiled,Other (Explain Below),10024,2451 BROADWAY,BROADWAY,WEST 90 STREET,WEST 91 STREET,,,ADDRESS,NEW YORK,,,Open,02/12/2015 12:56:34 AM,,07 MANHATTAN,MANHATTAN,991359,227527,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.791182305051024,-73.9743266182456,"(40.791182305051024, -73.9743266182456)"
41,41,41,29640432,2015-01-06 00:55:00,,DOT,Department of Transportation,Street Light Condition,Street Light Out,,,VAN WYCK EXPY,VAN WYCK EXPY,NONAME ST,,,,,,,,Open,,,Unspecified QUEENS,QUEENS,,,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,,,
42,42,42,29638652,2015-01-06 00:54:26,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11249,103 BERRY ST,BERRY ST,,,,,LATLONG,BROOKLYN,,,Pending,02/05/2015 12:54:26 AM,01/06/2015 12:58:17 AM,01 BROOKLYN,BROOKLYN,995805,201225,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.71898532252417,-73.95831557472374,"(40.71898532252417, -73.95831557472374)"
43,43,43,29634299,2015-01-06 00:54:00,,DOT,Department of Transportation,Street Light Condition,Street Light Out,,11204,2120 74 STREET,74 STREET,21 AVENUE,BAY PARKWAY,,,ADDRESS,BROOKLYN,,,Open,,,11 BROOKLYN,BROOKLYN,987501,161412,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.609714428356014,-73.98829128106611,"(40.609714428356014, -73.98829128106611)"
44,44,44,29638683,2015-01-06 00:53:59,,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,10453,81 WEST 174 STREET,WEST 174 STREET,MACOMBS ROAD,NELSON AVENUE,,,ADDRESS,BRONX,,Precinct,Assigned,01/06/2015 08:53:59 AM,01/06/2015 01:08:47 AM,05 BRONX,BRONX,1007315,247955,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.84722414539215,-73.91663306838426,"(40.84722414539215, -73.91663306838426)"
45,45,45,29634897,2015-01-06 00:47:59,,CHALL,CHALL,Opinion for the Mayor,PUBLICSAFETY,,,,,,,,,,,,,Email Sent,01/20/2015 12:48:42 AM,,0 Unspecified,Unspecified,,,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,1-1-1052163447,,,,,,
46,46,46,29635558,2015-01-06 00:47:46,,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11236,676 EAST 87 STREET,EAST 87 STREET,FARRAGUT ROAD,GLENWOOD ROAD,,,ADDRESS,BROOKLYN,,Precinct,Open,01/06/2015 08:47:46 AM,,18 BROOKLYN,BROOKLYN,1009120,172749,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.64079779535279,-73.91038710050515,"(40.64079779535279, -73.91038710050515)"
47,47,47,29642394,2015-01-06 00:47:38,,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11234,7215 ROYCE PLACE,ROYCE PLACE,EAST 72 STREET,ROYCE STREET,,,ADDRESS,BROOKLYN,,Precinct,Assigned,01/06/2015 08:47:38 AM,01/06/2015 01:20:17 AM,18 BROOKLYN,BROOKLYN,1009099,166729,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.62427423808724,-73.91048493524869,"(40.62427423808724, -73.91048493524869)"
